day_of_the_year	cross_correlation_value	median_absolute_deviation	magnitude	latitude	longitude	event_id	year	month	day	hour	min	sec	depth	number_of_stations	decimal_year
8.29198437500000	0.271000000000000	9.11000000000000	0.770000000000000	36.4247000000000	-96.8272000000000	20160904051235.0	2016	1	8	7	0	27	0	11	2016.02272000000
8.30738946759259	0.273000000000000	9.38000000000000	1.85000000000000	36.4371000000000	-96.8534000000000	20160903123618.0	2016	1	8	7	22	38	0	11	2016.02276000000
8.31769328703704	0.277000000000000	9.62000000000000	0.700000000000000	36.4293000000000	-96.9131000000000	20160903124538.0	2016	1	8	7	37	28	0	12	2016.02279000000
8.43866956018518	0.271000000000000	9.26000000000000	1.06000000000000	36.4293000000000	-96.9131000000000	20160903124538.0	2016	1	8	10	31	41	0	12	2016.02312000000
8.45774305555556	0.283000000000000	9.40000000000000	0.890000000000000	36.4251000000000	-96.8481000000000	20160904053304.0	2016	1	8	10	59	9	0	12	2016.02317000000
8.53671932870370	0.268000000000000	9.36000000000000	1.44000000000000	36.4175000000000	-96.8080000000000	20160903134523.0	2016	1	8	12	52	52	0	12	2016.02339000000
8.58105034722222	0.273000000000000	9.20000000000000	1.60000000000000	36.3974000000000	-96.9966000000000	20160903190223.0	2016	1	8	13	56	42	7.55200000000000	10	2016.02351000000
8.90329687500000	0.278000000000000	9.15000000000000	0.980000000000000	36.4251000000000	-96.8481000000000	20160904053304.0	2016	1	8	21	40	44	0	12	2016.02439000000
8.93405960648148	0.280000000000000	9.10000000000000	0.720000000000000	36.4314000000000	-96.8599000000000	20160903153141.0	2016	1	8	22	25	2	0	11	2016.02448000000
8.96986342592593	0.274000000000000	9.08000000000000	0.810000000000000	36.3777000000000	-96.9196000000000	20160904013201.0	2016	1	8	23	16	36	0	12	2016.02457000000
8.98325636574074	0.299000000000000	10.8400000000000	0.900000000000000	36.4306000000000	-96.8724000000000	20160903221750.0	2016	1	8	23	35	53	0	11	2016.02461000000
9.05517708333333	0.277000000000000	9.49000000000000	0.860000000000000	36.4135000000000	-96.8240000000000	20160904032642.0	2016	1	9	1	19	27	0	12	2016.02481000000
9.06542187500000	0.284000000000000	9.27000000000000	0.760000000000000	36.4469000000000	-96.8749000000000	20160903140934.0	2016	1	9	1	34	12	0	12	2016.02484000000
9.08050694444444	0.274000000000000	9.01000000000000	0.850000000000000	36.4247000000000	-96.8272000000000	20160904051235.0	2016	1	9	1	55	55	0	11	2016.02488000000
9.08914699074074	0.275000000000000	9.13000000000000	2.28000000000000	36.3974000000000	-96.9966000000000	20160903190223.0	2016	1	9	2	8	22	7.55200000000000	10	2016.02490000000
9.09761342592593	0.275000000000000	9.02000000000000	0.650000000000000	36.4247000000000	-96.8272000000000	20160904051235.0	2016	1	9	2	20	33	0	11	2016.02492000000
9.54218576388889	0.257000000000000	9.06000000000000	2.15000000000000	36.3915000000000	-96.8345000000000	20160903121622.0	2016	1	9	13	0	44	0	15	2016.02614000000
9.60289062500000	0.276000000000000	9.36000000000000	1.53000000000000	36.4068000000000	-96.8447000000000	20160903140550.0	2016	1	9	14	28	9	0	12	2016.02631000000
9.62522858796296	0.274000000000000	9.01000000000000	0.830000000000000	36.4247000000000	-96.8272000000000	20160904051235.0	2016	1	9	15	0	19	0	11	2016.02637000000
9.74077083333333	0.280000000000000	9.12000000000000	0.920000000000000	36.4170000000000	-96.8628000000000	20160903180704.0	2016	1	9	17	46	42	0	12	2016.02669000000
9.84694155092593	0.258000000000000	9.15000000000000	0.920000000000000	36.4245000000000	-96.8426000000000	20160903144704.0	2016	1	9	20	19	35	0	12	2016.02698000000
9.86524594907407	0.277000000000000	9.15000000000000	0.810000000000000	36.4228000000000	-96.8724000000000	20160903202847.0	2016	1	9	20	45	57	0	10	2016.02703000000
9.92758043981482	0.274000000000000	9.12000000000000	0.890000000000000	36.4185000000000	-96.8924000000000	20160904125605.0	2016	1	9	22	15	42	0	12	2016.02720000000
10.0962760416667	0.273000000000000	9.03000000000000	0.660000000000000	36.4223000000000	-96.8349000000000	20160904054434.0	2016	1	10	2	18	38	0	12	2016.02766000000
10.1199236111111	0.271000000000000	9.09000000000000	0.510000000000000	36.4413000000000	-96.8731000000000	20160903133648.0	2016	1	10	2	52	41	0	12	2016.02773000000
10.3603414351852	0.259000000000000	9.12000000000000	0.790000000000000	36.4120000000000	-96.9116000000000	20160903125838.0	2016	1	10	8	38	53	0	16	2016.02838000000
10.5978842592593	0.270000000000000	9.09000000000000	0.650000000000000	36.4212000000000	-96.8336000000000	20160903221149.0	2016	1	10	14	20	57	0	10	2016.02904000000
10.6719473379630	0.278000000000000	9.39000000000000	0.790000000000000	36.3938000000000	-96.8360000000000	20160904082031.0	2016	1	10	16	7	36	0	10	2016.02924000000
10.6785549768519	0.270000000000000	9.02000000000000	0.550000000000000	36.4413000000000	-96.8731000000000	20160903133648.0	2016	1	10	16	17	7	0	12	2016.02926000000
10.7477546296296	0.282000000000000	9.37000000000000	0.660000000000000	36.3544000000000	-96.9172000000000	20160903143154.0	2016	1	10	17	56	45	12.0940000000000	11	2016.02945000000
10.7687939814815	0.272000000000000	9.15000000000000	0.540000000000000	36.4175000000000	-96.8080000000000	20160903134523.0	2016	1	10	18	27	3	0	12	2016.02950000000
10.8097592592593	0.279000000000000	9.35000000000000	0.980000000000000	36.4223000000000	-96.8349000000000	20160904054434.0	2016	1	10	19	26	3	0	12	2016.02962000000
10.9194230324074	0.272000000000000	9.15000000000000	0.460000000000000	36.4413000000000	-96.8731000000000	20160903133648.0	2016	1	10	22	3	58	0	12	2016.02992000000
11.0053940972222	0.272000000000000	9.39000000000000	0.760000000000000	36.3944000000000	-96.8983000000000	20160904095352.0	2016	1	11	0	7	46	0.0250000000000000	10	2016.03015000000
11.1030190972222	0.265000000000000	9.29000000000000	0.600000000000000	36.4413000000000	-96.8731000000000	20160903133648.0	2016	1	11	2	28	20	0	12	2016.03042000000
11.1539641203704	0.258000000000000	9.65000000000000	1.16000000000000	36.4529000000000	-96.8588000000000	20160926104932.0	2016	1	11	3	41	42	0	13	2016.03056000000
11.1634108796296	0.265000000000000	9.20000000000000	0.540000000000000	36.4285000000000	-96.8658000000000	20160903200223.0	2016	1	11	3	55	18	0	12	2016.03058000000
11.2341018518519	0.277000000000000	9.89000000000000	0.790000000000000	36.4161000000000	-96.8782000000000	20160903175140.0	2016	1	11	5	37	6	0	10	2016.03078000000
11.3144809027778	0.265000000000000	9.51000000000000	0.480000000000000	36.4175000000000	-96.8080000000000	20160903134523.0	2016	1	11	7	32	51	0	12	2016.03100000000
11.6953524305556	0.266000000000000	9.27000000000000	1.27000000000000	36.4185000000000	-96.8924000000000	20160904125605.0	2016	1	11	16	41	18	0	12	2016.03204000000
11.7554809027778	0.264000000000000	9.07000000000000	1.93000000000000	36.4371000000000	-96.8534000000000	20160903123618.0	2016	1	11	18	7	53	0	11	2016.03221000000
11.8666180555556	0.277000000000000	9.73000000000000	0.720000000000000	36.4308000000000	-96.8922000000000	20160905025636.0	2016	1	11	20	47	55	0	12	2016.03251000000
11.8748912037037	0.274000000000000	9.47000000000000	1.04000000000000	36.4228000000000	-96.8724000000000	20160903202847.0	2016	1	11	20	59	50	0	10	2016.03253000000
11.9070983796296	0.268000000000000	9.22000000000000	0.980000000000000	36.4322000000000	-96.8393000000000	20160903183121.0	2016	1	11	21	46	13	0	12	2016.03262000000
11.9312905092593	0.266000000000000	9.08000000000000	0.700000000000000	36.4308000000000	-96.8922000000000	20160905025636.0	2016	1	11	22	21	3	0	12	2016.03269000000
11.9731041666667	0.265000000000000	9.41000000000000	0.780000000000000	36.4233000000000	-96.8615000000000	20160904154821.0	2016	1	11	23	21	16	0	12	2016.03280000000
12.0113211805556	0.262000000000000	9.32000000000000	0.350000000000000	36.4363000000000	-96.8213000000000	20160903173906.0	2016	1	12	0	16	18	0	10	2016.03291000000
12.1642818287037	0.274000000000000	9.67000000000000	0.740000000000000	36.4469000000000	-96.8749000000000	20160903140934.0	2016	1	12	3	56	33	0	12	2016.03333000000
12.2658396990741	0.252000000000000	9.03000000000000	0.510000000000000	36.3544000000000	-96.9172000000000	20160903143154.0	2016	1	12	6	22	48	12.0940000000000	11	2016.03361000000
12.2735810185185	0.259000000000000	9.23000000000000	1.05000000000000	36.4130000000000	-96.8738000000000	20160904180812.0	2016	1	12	6	33	57	0	10	2016.03363000000
12.3602418981481	0.268000000000000	9.22000000000000	1.64000000000000	36.4203000000000	-96.8639000000000	20160903123949.0	2016	1	12	8	38	44	0	12	2016.03386000000
12.5071406250000	0.267000000000000	9.17000000000000	1.08000000000000	36.4203000000000	-96.8639000000000	20160903123949.0	2016	1	12	12	10	16	0	12	2016.03427000000
12.8236562500000	0.263000000000000	9.20000000000000	0.970000000000000	36.4251000000000	-96.8481000000000	20160904053304.0	2016	1	12	19	46	3	0	12	2016.03513000000
